"book_id";"isbn";"authors";"original_publish_year";"title";"qty_on_hand";"qty_unavailable";"book_rating";"image_url";"small_image_url"
37;9780060764899;"C.S. Lewis";1950;"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)";10;0;4.19;"https://images.gr-assets.com/books/1353029077m/100915.jpg";"https://images.gr-assets.com/books/1353029077s/100915.jpg"
38;9780965818675;"Audrey Niffenegger";2003;"The Time Traveler's Wife";10;0;3.95;"https://images.gr-assets.com/books/1437728815m/14050.jpg";"https://images.gr-assets.com/books/1437728815s/14050.jpg"
39;9780553588486;"George R.R. Martin";1996;"A Game of Thrones (A Song of Ice and Fire, #1)";10;0;4.45;"https://images.gr-assets.com/books/1436732693m/13496.jpg";"https://images.gr-assets.com/books/1436732693s/13496.jpg"
40;9780143038419;"Elizabeth Gilbert";2006;"Eat, Pray, Love";10;0;3.51;"https://images.gr-assets.com/books/1503066414m/19501.jpg";"https://images.gr-assets.com/books/1503066414s/19501.jpg"
41;9780786838655;"Rick Riordan";2005;"The Lightning Thief (Percy Jackson and the Olympians, #1)";10;0;4.23;"https://images.gr-assets.com/books/1400602609m/28187.jpg";"https://images.gr-assets.com/books/1400602609s/28187.jpg"
42;9780451529308;"Louisa May Alcott";1868;"Little Women (Little Women, #1)";10;0;4.04;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
43;9780142437204;"Charlotte Bront??, Michael Mason";1847;"Jane Eyre";10;0;4.1;"https://images.gr-assets.com/books/1327867269m/10210.jpg";"https://images.gr-assets.com/books/1327867269s/10210.jpg"
44;9780553816713;"Nicholas Sparks";1996;"The Notebook (The Notebook, #1)";10;0;4.06;"https://images.gr-assets.com/books/1385738917m/15931.jpg";"https://images.gr-assets.com/books/1385738917s/15931.jpg"
45;9780770430074;"Yann Martel";2001;"Life of Pi";10;0;3.88;"https://images.gr-assets.com/books/1320562005m/4214.jpg";"https://images.gr-assets.com/books/1320562005s/4214.jpg"
46;9781565125606;"Sara Gruen";2006;"Water for Elephants";10;0;4.07;"https://images.gr-assets.com/books/1494428973m/43641.jpg";"https://images.gr-assets.com/books/1494428973s/43641.jpg"
47;9780375831002;"Markus Zusak";2005;"The Book Thief";10;0;4.36;"https://images.gr-assets.com/books/1390053681m/19063.jpg";"https://images.gr-assets.com/books/1390053681s/19063.jpg"
48;9780307347974;"Ray Bradbury";1953;"Fahrenheit 451";10;0;3.97;"https://images.gr-assets.com/books/1351643740m/4381.jpg";"https://images.gr-assets.com/books/1351643740s/4381.jpg"
49;9780316160199;"Stephenie Meyer";2006;"New Moon (Twilight, #2)";10;0;3.52;"https://images.gr-assets.com/books/1361039440m/49041.jpg";"https://images.gr-assets.com/books/1361039440s/49041.jpg"
50;9780060513039;"Shel Silverstein";1974;"Where the Sidewalk Ends";10;0;4.29;"https://images.gr-assets.com/books/1168052448m/30119.jpg";"https://images.gr-assets.com/books/1168052448s/30119.jpg"
51;9781416914285;"Cassandra Clare";2007;"City of Bones (The Mortal Instruments, #1)";10;0;4.12;"https://images.gr-assets.com/books/1432730315m/256683.jpg";"https://images.gr-assets.com/books/1432730315s/256683.jpg"
52;9780316160202;"Stephenie Meyer";2007;"Eclipse (Twilight, #3)";10;0;3.69;"https://images.gr-assets.com/books/1361038355m/428263.jpg";"https://images.gr-assets.com/books/1361038355s/428263.jpg"
53;9780375826696;"Christopher Paolini";2002;"Eragon (The Inheritance Cycle, #1)";10;0;3.86;"https://images.gr-assets.com/books/1366212852m/113436.jpg";"https://images.gr-assets.com/books/1366212852s/113436.jpg"
54;9780345391802;"Douglas Adams";1979;"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)";10;0;4.2;"https://images.gr-assets.com/books/1327656754m/11.jpg";"https://images.gr-assets.com/books/1327656754s/11.jpg"
55;9780060929871;"Aldous Huxley";1932;"Brave New World";10;0;3.97;"https://images.gr-assets.com/books/1487389574m/5129.jpg";"https://images.gr-assets.com/books/1487389574s/5129.jpg"
56;9780316067928;"Stephenie Meyer";2008;"Breaking Dawn (Twilight, #4)";10;0;3.7;"https://images.gr-assets.com/books/1361039438m/1162543.jpg";"https://images.gr-assets.com/books/1361039438s/1162543.jpg"
57;9780142001740;"Sue Monk Kidd";2001;"The Secret Life of Bees";10;0;4.01;"https://images.gr-assets.com/books/1473454532m/37435.jpg";"https://images.gr-assets.com/books/1473454532s/37435.jpg"
58;9780142437174;"Mark Twain, John Seelye, Guy Cardwell";1884;"The Adventures of Huckleberry Finn";10;0;3.8;"https://images.gr-assets.com/books/1405973850m/2956.jpg";"https://images.gr-assets.com/books/1405973850s/2956.jpg"
59;9780064410935;"E.B. White, Garth Williams, Rosemary Wells";1952;"Charlotte's Web";10;0;4.15;"https://images.gr-assets.com/books/1439632243m/24178.jpg";"https://images.gr-assets.com/books/1439632243s/24178.jpg"
60;9781400032717;"Mark Haddon";2003;"The Curious Incident of the Dog in the Night-Time";10;0;3.85;"https://images.gr-assets.com/books/1479863624m/1618.jpg";"https://images.gr-assets.com/books/1479863624s/1618.jpg"
61;9781594633665;"Paula Hawkins";2015;"The Girl on the Train";10;0;3.88;"https://images.gr-assets.com/books/1490903702m/22557272.jpg";"https://images.gr-assets.com/books/1490903702s/22557272.jpg"
62;9780679879242;"Philip Pullman";1995;"The Golden Compass (His Dark Materials, #1)";10;0;3.94;"https://images.gr-assets.com/books/1451271747m/119322.jpg";"https://images.gr-assets.com/books/1451271747s/119322.jpg"
63;9780393978893;"Emily Bront??, Richard J. Dunn";1847;"Wuthering Heights";10;0;3.82;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
64;9780743454537;"Jodi Picoult";2004;"My Sister's Keeper";10;0;4.06;"https://images.gr-assets.com/books/1369504683m/10917.jpg";"https://images.gr-assets.com/books/1369504683s/10917.jpg"
65;9780385333846;"Kurt Vonnegut Jr.";1969;"Slaughterhouse-Five";10;0;4.06;"https://images.gr-assets.com/books/1440319389m/4981.jpg";"https://images.gr-assets.com/books/1440319389s/4981.jpg"
66;9780446675539;"Margaret Mitchell";1936;"Gone with the Wind";10;0;4.28;"https://images.gr-assets.com/books/1328025229m/18405.jpg";"https://images.gr-assets.com/books/1328025229s/18405.jpg"
67;9781594489505;"Khaled Hosseini";2007;"A Thousand Splendid Suns";10;0;4.34;"https://images.gr-assets.com/books/1345958969m/128029.jpg";"https://images.gr-assets.com/books/1345958969s/128029.jpg"
68;9780671027344;"Stephen Chbosky";1999;"The Perks of Being a Wallflower";10;0;4.21;"https://images.gr-assets.com/books/1167352178m/22628.jpg";"https://images.gr-assets.com/books/1167352178s/22628.jpg"
69;9780007442912;"Veronica Roth";2012;"Insurgent (Divergent, #2)";10;0;4.07;"https://images.gr-assets.com/books/1325667729m/11735983.jpg";"https://images.gr-assets.com/books/1325667729s/11735983.jpg"
70;9780812550706;"Orson Scott Card";1985;"Ender's Game (Ender's Saga, #1)";10;0;4.3;"https://images.gr-assets.com/books/1408303130m/375802.jpg";"https://images.gr-assets.com/books/1408303130s/375802.jpg"
71;9780141439475;"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle";1818;"Frankenstein";10;0;3.75;"https://images.gr-assets.com/books/1381512375m/18490.jpg";"https://images.gr-assets.com/books/1381512375s/18490.jpg"
72;9780450040186;"Stephen King";1977;"The Shining (The Shining #1)";10;0;4.17;"https://images.gr-assets.com/books/1353277730m/11588.jpg";"https://images.gr-assets.com/books/1353277730s/11588.jpg"
73;9780316068047;"Stephenie Meyer";2008;"The Host (The Host, #1)";10;0;3.84;"https://images.gr-assets.com/books/1318009171m/1656001.jpg";"https://images.gr-assets.com/books/1318009171s/1656001.jpg"
74;9780142402516;"John Green";2005;"Looking for Alaska";10;0;4.09;"https://images.gr-assets.com/books/1394798630m/99561.jpg";"https://images.gr-assets.com/books/1394798630s/99561.jpg"
75;9780140280098;"Helen Fielding";1996;"Bridget Jones's Diary (Bridget Jones, #1)";10;0;3.75;"https://images.gr-assets.com/books/1292060045m/227443.jpg";"https://images.gr-assets.com/books/1292060045s/227443.jpg"
76;9780141439661;"Jane Austen, Tony Tanner, Ros Ballaster";1811;"Sense and Sensibility";10;0;4.06;"https://images.gr-assets.com/books/1397245675m/14935.jpg";"https://images.gr-assets.com/books/1397245675s/14935.jpg"
77;9780439244196;"Louis Sachar, Louis Sachar";1998;"Holes (Holes, #1)";10;0;3.93;"https://images.gr-assets.com/books/1327781893m/38709.jpg";"https://images.gr-assets.com/books/1327781893s/38709.jpg"
78;9780307275558;"Lauren Weisberger";2003;"The Devil Wears Prada (The Devil Wears Prada, #1)";10;0;3.7;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
79;9780143039954;"Homer, Robert Fagles, E.V. Rieu, Fr??d??ric Mugler, Bernard Knox";-720;"The Odyssey";10;0;3.73;"https://images.gr-assets.com/books/1390173285m/1381.jpg";"https://images.gr-assets.com/books/1390173285s/1381.jpg"
80;9780156012197;"Antoine de Saint-Exup??ry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta";1946;"The Little Prince";10;0;4.28;"https://images.gr-assets.com/books/1367545443m/157993.jpg";"https://images.gr-assets.com/books/1367545443s/157993.jpg"
81;9780743247542;"Jeannette Walls";2005;"The Glass Castle";10;0;4.24;"https://images.gr-assets.com/books/1400930557m/7445.jpg";"https://images.gr-assets.com/books/1400930557s/7445.jpg"
82;9780385486804;"Jon Krakauer";1996;"Into the Wild";10;0;3.94;"https://images.gr-assets.com/books/1403173986m/1845.jpg";"https://images.gr-assets.com/books/1403173986s/1845.jpg"
83;9780141439602;"Charles Dickens, Richard Maxwell, Hablot Knight Browne";1859;"A Tale of Two Cities";10;0;3.81;"https://images.gr-assets.com/books/1344922523m/1953.jpg";"https://images.gr-assets.com/books/1344922523s/1953.jpg"
84;9780307348135;"Michael Crichton";1990;"Jurassic Park (Jurassic Park, #1)";10;0;3.96;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
85;9780060256656;"Shel Silverstein";1964;"The Giving Tree";10;0;4.38;"https://images.gr-assets.com/books/1174210942m/370493.jpg";"https://images.gr-assets.com/books/1174210942s/370493.jpg"
86;9780385338600;"John Grisham";1989;"A Time to Kill";10;0;4.03;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
87;9780374500010;"Elie Wiesel, Marion Wiesel";1958;"Night (The Night Trilogy #1)";10;0;4.3;"https://images.gr-assets.com/books/1473495285m/1617.jpg";"https://images.gr-assets.com/books/1473495285s/1617.jpg"
88;9780142414934;"John Green";2008;"Paper Towns";10;0;3.88;"https://images.gr-assets.com/books/1349013610m/6442769.jpg";"https://images.gr-assets.com/books/1349013610s/6442769.jpg"
89;9780345418263;"William Goldman";1973;"The Princess Bride ";10;0;4.25;"https://images.gr-assets.com/books/1327903636m/21787.jpg";"https://images.gr-assets.com/books/1327903636s/21787.jpg"
90;9780140385724;"S.E. Hinton";1967;"The Outsiders";10;0;4.06;"https://images.gr-assets.com/books/1442129426m/231804.jpg";"https://images.gr-assets.com/books/1442129426s/231804.jpg"
91;9780385737947;"James Dashner";2009;"The Maze Runner (Maze Runner, #1)";10;0;4.02;"https://images.gr-assets.com/books/1375596592m/6186357.jpg";"https://images.gr-assets.com/books/1375596592s/6186357.jpg"
92;9780061234001;"Steven D. Levitt, Stephen J. Dubner";2005;"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)";10;0;3.93;"https://images.gr-assets.com/books/1327909092m/1202.jpg";"https://images.gr-assets.com/books/1327909092s/1202.jpg"
93;9780517189607;"Frances Hodgson Burnett";1911;"The Secret Garden";10;0;4.12;"https://images.gr-assets.com/books/1327873635m/2998.jpg";"https://images.gr-assets.com/books/1327873635s/2998.jpg"
94;9780060531045;"Gabriel Garc??a M??rquez, Gregory Rabassa";1967;"One Hundred Years of Solitude";10;0;4.04;"https://images.gr-assets.com/books/1327881361m/320.jpg";"https://images.gr-assets.com/books/1327881361s/320.jpg"
95;9780375751513;"Oscar Wilde, Jeffrey Eugenides";1891;"The Picture of Dorian Gray";10;0;4.06;"https://images.gr-assets.com/books/1424596966m/5297.jpg";"https://images.gr-assets.com/books/1424596966s/5297.jpg"
96;9780345803507;"E.L. James";2012;"Fifty Shades Freed (Fifty Shades, #3)";10;0;3.88;"https://images.gr-assets.com/books/1336418837m/13536860.jpg";"https://images.gr-assets.com/books/1336418837s/13536860.jpg"
97;9780393970124;"Bram Stoker, Nina Auerbach, David J. Skal";1897;"Dracula";10;0;3.98;"https://images.gr-assets.com/books/1387151694m/17245.jpg";"https://images.gr-assets.com/books/1387151694s/17245.jpg"
98;9780307269981;"Stieg Larsson, Reg Keeland";2006;"The Girl Who Played with Fire (Millennium, #2)";10;0;4.22;"https://images.gr-assets.com/books/1351778881m/5060378.jpg";"https://images.gr-assets.com/books/1351778881s/5060378.jpg"
99;9781612130585;"E.L. James";2011;"Fifty Shades Darker (Fifty Shades, #2)";10;0;3.87;"https://images.gr-assets.com/books/1358266080m/11857408.jpg";"https://images.gr-assets.com/books/1358266080s/11857408.jpg"
